,rssi,corr,theta,timestamp
59,"(41.87541198730469, 227.7652587890625, 537.7430419921875, 746.4308471679688)","(-0.9048274755477905, -0.9049179553985596, 0.9483746886253357, 0.9485201835632324)",-88.2,1765210778.982965
60,"(43.19464111328125, 220.33984375, 522.5733642578125, 697.3985595703125)","(-0.905815064907074, -0.9066987037658691, 0.9003640413284302, 0.9006454944610596)",-88.2,1765210779.201133
61,"(41.86008071899414, 225.31637573242188, 522.1006469726562, 729.3919067382812)","(-0.9077993035316467, -0.9090494513511658, 0.902269721031189, 0.9022079110145569)",-88.2,1765210779.4193518
62,"(44.662109375, 227.9563446044922, 559.5089111328125, 760.7635498046875)","(-0.9094796180725098, -0.9108757972717285, 0.9437404274940491, 0.9037824869155884)",-88.2,1765210779.6416075
63,"(45.16413497924805, 226.86453247070312, 537.2876586914062, 741.4693603515625)","(-0.9123597145080566, -0.9116357564926147, 0.9061226844787598, 0.9060261249542236)",-88.2,1765210779.8527672
64,"(47.034847259521484, 240.93109130859375, 562.996337890625, 778.64794921875)","(-0.9143477082252502, -0.9587708711624146, 0.9083665609359741, 0.9084940552711487)",-88.1,1765210780.0693674
65,"(48.29131317138672, 246.09678649902344, 539.6978759765625, 761.060302734375)","(-0.915237545967102, -0.9165399074554443, 0.9094330072402954, 0.9090648889541626)",-87.7,1765210780.2864976
66,"(48.55473709106445, 243.7855224609375, 572.7951049804688, 735.7037353515625)","(-0.917859673500061, -0.916342556476593, 0.9115911722183228, 0.9109740257263184)",-87.4,1765210780.5015414
67,"(45.081581115722656, 244.98065185546875, 564.2955932617188, 747.3234252929688)","(-0.9196499586105347, -0.918182373046875, 0.9134150147438049, 0.9132393002510071)",-87.4,1765210780.7197607
68,"(44.63842010498047, 242.3062744140625, 542.8761596679688, 742.7823486328125)","(-0.9190663695335388, -0.9221932888031006, 0.9138411283493042, 0.9138126373291016)",-87.2,1765210780.9380176
69,"(46.01493835449219, 245.99322509765625, 573.3997802734375, 765.1954345703125)","(-0.921555757522583, -0.9237725734710693, 0.934326171875, 0.9152697324752808)",-87.1,1765210781.1535866
70,"(47.49205017089844, 242.4432373046875, 558.6424560546875, 751.734130859375)","(-0.9243776202201843, -0.9228938817977905, 0.9183232188224792, 0.9179259538650513)",-86.8,1765210781.3713796
71,"(48.440635681152344, 253.17745971679688, 535.7724609375, 794.4625854492188)","(-0.9253016114234924, -0.9691905379295349, 0.9196237921714783, 0.9194809198379517)",-86.6,1765210781.5869274
72,"(46.61207962036133, 242.75918579101562, 533.4132690429688, 793.3578491210938)","(-0.9263210892677307, -0.9285305142402649, 0.9203397631645203, 0.9200323224067688)",-86.6,1765210781.805077
73,"(49.112945556640625, 236.34530639648438, 544.7564697265625, 762.4708862304688)","(-0.9286667108535767, -0.9299245476722717, 0.922621488571167, 0.9224069714546204)",-86.6,1765210782.0229561
74,"(46.33244323730469, 236.0843505859375, 531.3831787109375, 778.7969970703125)","(-0.9285319447517395, -0.9314751625061035, 0.9232208132743835, 0.9228980541229248)",-86.6,1765210782.2383862
75,"(46.401123046875, 237.85763549804688, 525.226806640625, 767.5372314453125)","(-0.9320895075798035, -0.9304345846176147, 0.9258266091346741, 0.9256963729858398)",-86.6,1765210782.456552
76,"(49.13938522338867, 237.37522888183594, 546.01416015625, 748.748291015625)","(-0.9325829148292542, -0.9343945980072021, 0.9254416227340698, 0.9268531203269958)",-86.6,1765210782.672036
77,"(795.27587890625, 783.8363647460938, 773.4388427734375, 771.4047241210938)","(-0.935518205165863, -0.9355549216270447, 0.927801787853241, 0.9281898736953735)",-86.6,1765210782.9512196
78,"(48.243202209472656, 472.16436767578125, 787.9092407226562, 765.184814453125)","(-0.9357147216796875, -0.9525356292724609, 0.9301090240478516, 0.9306805729866028)",-86.6,1765210783.110404
79,"(49.73065948486328, 234.73880004882812, 519.9398193359375, 774.500732421875)","(-0.9381921291351318, -0.9381209015846252, 0.9316862225532532, 0.9319101572036743)",-86.6,1765210783.3236468
80,"(833.8345947265625, 835.2501220703125, 815.7615356445312, 796.076416015625)","(-0.9374527335166931, -0.937339723110199, 0.9338371753692627, 0.9328508973121643)",-86.6,1765210783.5888808
81,"(38.781612396240234, 220.69265747070312, 505.8904724121094, 827.2678833007812)","(-0.9395666122436523, -0.9412947297096252, 0.9343885779380798, 0.9340742826461792)",-86.6,1765210783.7569287
82,"(37.00992965698242, 223.85276794433594, 486.7215270996094, 815.837158203125)","(-0.9419416785240173, -0.9425352811813354, 0.9359201788902283, 0.9354130029678345)",-86.6,1765210783.9751546
83,"(33.64250183105469, 211.99981689453125, 502.68609619140625, 843.7203369140625)","(-0.9435163736343384, -0.9443601369857788, 0.9371029734611511, 0.9370079040527344)",-86.5,1765210784.1929593
84,"(60.50084686279297, 215.9508514404297, 511.28253173828125, 826.1856689453125)","(-0.9444728493690491, -0.946112334728241, 0.9387977719306946, 0.9379364848136902)",-86.5,1765210784.4084442
85,"(46.65950012207031, 201.71725463867188, 562.0003662109375, 926.78857421875)","(-0.9465239644050598, -0.9465730786323547, 0.9402942061424255, 0.9399505853652954)",-86.5,1765210784.6276164
86,"(24.79163360595703, 180.08282470703125, 332.6612548828125, 753.2246704101562)","(-0.9486339688301086, -0.948453426361084, 0.9416523575782776, 0.9414165616035461)",-86.5,1765210784.8422482
87,"(25.193477630615234, 148.39566040039062, 387.001708984375, 680.90576171875)","(-0.948468029499054, -0.9510352611541748, 0.9414511322975159, 0.9415147304534912)",-86.5,1765210785.060026
88,"(25.21390724182129, 156.55197143554688, 383.62017822265625, 669.4037475585938)","(-0.9478760957717896, -0.9487879872322083, 0.9426847100257874, 0.9427740573883057)",-86.5,1765210785.27828
89,"(5.269681453704834, 172.97756958007812, 381.31329345703125, 594.929931640625)","(-0.9493790864944458, -0.9501335024833679, 0.9444254040718079, 0.9442708492279053)",-86.5,1765210785.4947891
90,"(63.73463439941406, 218.59156799316406, 488.9035339355469, 853.0324096679688)","(-0.9013499617576599, -0.9016894698143005, 0.9464796781539917, 0.9466368556022644)",-86.5,1765210785.711625
91,"(26.428691864013672, 189.18174743652344, 600.1602172851562, 952.3050537109375)","(-0.9029877781867981, -0.9039690494537354, 0.9477264285087585, 0.9480245113372803)",-86.5,1765210785.927088
92,"(35.186004638671875, 209.39443969726562, 493.2216491699219, 922.35400390625)","(-0.9050712585449219, -0.9058569073677063, 0.9488705396652222, 0.9490716457366943)",-86.5,1765210786.1452441
93,"(41.609901428222656, 216.59527587890625, 553.6317138671875, 810.2877807617188)","(-0.9977102875709534, -0.9069783091545105, 0.9012889266014099, 0.901481568813324)",-86.5,1765210786.3607512
94,"(55.62702941894531, 206.34690856933594, 507.15899658203125, 795.493408203125)","(-0.9089796543121338, -0.909680962562561, 0.9028419852256775, 0.9028069972991943)",-86.5,1765210786.5786302
95,"(21.696609497070312, 227.74301147460938, 432.8397216796875, 745.9441528320312)","(-0.9101911783218384, -0.911721408367157, 0.904765248298645, 0.9046962857246399)",-86.5,1765210786.7968605
96,"(29.266849517822266, 218.6258544921875, 458.5687255859375, 779.902587890625)","(-0.9125608205795288, -0.9137123227119446, 0.9062746167182922, 0.906243622303009)",-85.5,1765210787.0138087
97,"(36.93622970581055, 217.02386474609375, 452.2400817871094, 801.7991943359375)","(-0.9141255021095276, -0.9158284664154053, 0.9082922339439392, 0.9081748723983765)",-84.9,1765210787.2301903
98,"(41.55792236328125, 207.5819091796875, 433.94110107421875, 793.0634765625)","(-0.9152033925056458, -0.9171189665794373, 0.9094572067260742, 0.9820584058761597)",-84.9,1765210787.4456549
99,"(45.99726104736328, 228.60321044921875, 470.93035888671875, 754.1915283203125)","(-0.9173458814620972, -0.9186215996742249, 0.9114867448806763, 0.9112408757209778)",-84.9,1765210787.6639507
100,"(53.69573211669922, 226.47169494628906, 505.5800476074219, 740.674560546875)","(-0.9867804050445557, -0.9203581809997559, 0.9126807451248169, 0.9128500819206238)",-84.9,1765210787.8816447
101,"(47.9371337890625, 230.8109130859375, 481.12579345703125, 766.6845703125)","(-0.9204524159431458, -0.920685887336731, 0.9148725867271423, 0.914925754070282)",-84.9,1765210788.1005113
102,"(43.60612106323242, 219.56201171875, 472.52203369140625, 763.4107666015625)","(-0.9217666387557983, -0.923505425453186, 0.9164877533912659, 0.9164836406707764)",-84.9,1765210788.3154893
103,"(40.716190338134766, 238.72225952148438, 453.626220703125, 769.9152221679688)","(-0.9232617616653442, -0.924996554851532, 0.9179708361625671, 0.9182546138763428)",-84.9,1765210788.5309186
104,"(40.5627326965332, 219.36227416992188, 476.6651306152344, 881.8552856445312)","(-0.9252831339836121, -0.9260432124137878, 0.9196948409080505, 0.9198041558265686)",-84.9,1765210788.7497408
105,"(40.390655517578125, 202.23255920410156, 419.5848388671875, 839.687744140625)","(-0.9269438982009888, -0.9284279346466064, 0.9212476015090942, 0.9864493012428284)",-84.9,1765210788.9669483
106,"(41.54371643066406, 247.69029235839844, 477.5946044921875, 731.20703125)","(-0.9282092452049255, -0.9299210906028748, 0.9224455952644348, 0.9226987957954407)",-84.9,1765210789.1824775
107,"(50.865806579589844, 257.21014404296875, 498.6150207519531, 832.5546875)","(-0.9913823008537292, -0.9318877458572388, 0.9243872165679932, 0.9242351651191711)",-84.9,1765210789.4002824
108,"(50.70530700683594, 245.0712432861328, 481.15325927734375, 799.4599609375)","(-0.9303712844848633, -0.9330626726150513, 0.9254499077796936, 0.9251850843429565)",-84.9,1765210789.6158178
109,"(47.040340423583984, 235.98635864257812, 462.5260314941406, 827.4642333984375)","(-0.9329468607902527, -0.9335209727287292, 0.9272899031639099, 0.9274745583534241)",-84.9,1765210789.8371387
110,"(40.91497039794922, 223.51358032226562, 415.1094665527344, 776.2921142578125)","(-0.9345080256462097, -0.9362174868583679, 0.929076075553894, 0.9290794134140015)",-84.9,1765210790.052251
111,"(41.84819030761719, 239.8181610107422, 443.5460205078125, 804.8319091796875)","(-0.9353762865066528, -0.9375150799751282, 0.9299998879432678, 0.9298179149627686)",-84.9,1765210790.267269
112,"(41.92942428588867, 244.31158447265625, 479.4705810546875, 851.8789672851562)","(-0.9367801547050476, -0.9390441179275513, 0.9318801164627075, 0.989033043384552)",-84.9,1765210790.4855537
113,"(45.86221694946289, 246.0627899169922, 476.5436096191406, 860.837158203125)","(-0.9384824633598328, -0.9396259784698486, 0.9330381155014038, 0.9327890872955322)",-84.9,1765210790.701025
114,"(45.89097595214844, 246.5042724609375, 475.1881103515625, 830.846923828125)","(-0.9949756264686584, -0.9412190914154053, 0.9348443746566772, 0.9348810911178589)",-84.9,1765210790.9188743
115,"(39.98892593383789, 239.94241333007812, 469.9777526855469, 813.008544921875)","(-0.9417094588279724, -0.943328857421875, 0.9364814758300781, 0.9363048076629639)",-84.9,1765210791.1371002
116,"(35.64356231689453, 250.61248779296875, 502.7696228027344, 858.4208374023438)","(-0.9417631030082703, -0.9445803761482239, 0.9367609024047852, 0.9367731809616089)",-84.9,1765210791.35267
117,"(30.587596893310547, 232.32113647460938, 470.0469970703125, 793.5736083984375)","(-0.9439458250999451, -0.9455649852752686, 0.9388057589530945, 0.9389204382896423)",-84.9,1765210791.5708776
118,"(32.94631576538086, 238.44476318359375, 457.91497802734375, 776.3834228515625)","(-0.945229709148407, -0.9467835426330566, 0.9401527643203735, 0.9403483867645264)",-84.9,1765210791.7887018
119,"(37.71281433105469, 224.47225952148438, 449.8369445800781, 804.6911010742188)","(-0.9468198418617249, -0.948177695274353, 0.9418039917945862, 0.9916419386863708)",-84.9,1765210792.006019
120,"(45.272117614746094, 239.2740478515625, 445.7149658203125, 786.3363647460938)","(-0.9491539001464844, -0.9498903155326843, 0.9433794617652893, 0.9431719183921814)",-84.9,1765210792.2224295
121,"(37.24257278442383, 254.92776489257812, 506.5968933105469, 777.1495361328125)","(-0.9941814541816711, -0.9002571105957031, 0.9438662528991699, 0.9435396194458008)",-84.9,1765210792.4376094
122,"(30.835193634033203, 233.36573791503906, 484.5592041015625, 732.2891845703125)","(-0.9502516984939575, -0.9009984135627747, 0.9451208114624023, 0.9449653029441833)",-84.9,1765210792.6556714
123,"(31.72639274597168, 249.43161010742188, 501.21826171875, 752.9734497070312)","(-0.9012652039527893, -0.9032170176506042, 0.9468209743499756, 0.9469044208526611)",-84.9,1765210792.87264
124,"(32.9130744934082, 250.30142211914062, 477.0656433105469, 754.7824096679688)","(-0.9035438895225525, -0.9047289490699768, 0.9479973316192627, 0.9481420516967773)",-84.9,1765210793.093035
125,"(37.88789367675781, 234.8531494140625, 441.27105712890625, 755.2103271484375)","(-0.9053820967674255, -0.9066230058670044, 0.9000309109687805, 0.9002520442008972)",-84.9,1765210793.3044589
